Order_ID,Agent_Age,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Agent_Rating,Distance
ialx566343618,37,22.745049,75.892471,22.765049,75.912471,2022-03-19,1900-01-01 11:30:00,1900-01-01 11:45:00,Sunny,high,motorcycle ,Urban ,120,Clothing,4.9,3.0251534641916638
akqg208421122,34,12.913041,77.683237,13.043041,77.813237,2022-03-25,1900-01-01 19:45:00,1900-01-01 19:50:00,Stormy,jam,scooter ,Metropolitian ,165,Electronics,4.5,20.183557607412258
njpu434582536,23,12.914264,77.6784,12.924264,77.6884,2022-03-19,1900-01-01 08:30:00,1900-01-01 08:45:00,Sandstorms,low,motorcycle ,Urban ,130,Sports,4.4,1.552759947015296
rjto796129700,38,11.003669,76.976494,11.053669,77.026494,2022-04-05,1900-01-01 18:00:00,1900-01-01 18:10:00,Sunny,medium,motorcycle ,Metropolitian ,105,Cosmetics,4.7,7.790412120666412
zguw716275638,32,12.972793,80.249982,13.012793,80.289982,2022-03-26,1900-01-01 13:30:00,1900-01-01 13:45:00,Cloudy,high,scooter ,Metropolitian ,150,Toys,4.6,6.210146543431993
fxuu788413734,22,17.431668,78.408321,17.461668,78.438321,2022-03-11,1900-01-01 21:20:00,1900-01-01 21:30:00,Cloudy,jam,motorcycle ,Urban ,130,Toys,4.8,4.610371512464619
njmo150975311,33,23.369746,85.33982,23.479746,85.44982,2022-03-04,1900-01-01 19:15:00,1900-01-01 19:30:00,Fog,jam,scooter ,Metropolitian ,200,Toys,4.7,16.600384057308027
jvjc772545076,35,12.352058,76.60665,12.482058,76.73665,2022-03-14,1900-01-01 17:25:00,1900-01-01 17:30:00,Cloudy,medium,motorcycle ,Metropolitian ,160,Snacks,4.6,20.205281143977334
uaeb808891380,22,17.433809,78.386744,17.563809,78.516744,2022-03-20,1900-01-01 20:55:00,1900-01-01 21:05:00,Stormy,jam,motorcycle ,Metropolitian ,170,Electronics,4.8,19.975547677584927
bgvc052754213,36,30.327968,78.046106,30.397968,78.116106,2022-02-12,1900-01-01 21:55:00,1900-01-01 22:10:00,Fog,jam,motorcycle ,Metropolitian ,230,Toys,4.2,10.280596264766618
vmau710398846,21,10.003064,76.307589,10.043064,76.347589,2022-02-13,1900-01-01 14:55:00,1900-01-01 15:05:00,Stormy,high,motorcycle ,Metropolitian ,115,Cosmetics,4.7,6.242327304959037
lcwn330553507,23,18.56245,73.916619,18.65245,74.006619,2022-03-04,1900-01-01 17:30:00,1900-01-01 17:40:00,Sandstorms,medium,scooter ,Metropolitian ,105,Shoes,4.7,13.787879283776235
wcjs752046999,34,30.899584,75.809346,30.919584,75.829346,2022-02-13,1900-01-01 09:20:00,1900-01-01 09:30:00,Sandstorms,low,motorcycle ,Metropolitian ,100,Apparel,4.3,2.93026184820658
blhl288691670,24,26.463504,80.372929,26.593504,80.502929,2022-02-14,1900-01-01 19:50:00,1900-01-01 20:05:00,Fog,jam,scooter ,Metropolitian ,205,Jewelry,4.7,19.396645082411855
zyvo118176215,29,19.176269,72.836721,19.266269,72.926721,2022-04-02,1900-01-01 20:25:00,1900-01-01 20:35:00,Sandstorms,jam,van,Metropolitian ,100,Outdoors,4.5,13.763996236042704
uhfs888375680,35,12.311072,76.654878,12.351072,76.694878,2022-03-01,1900-01-01 14:55:00,1900-01-01 15:10:00,Windy,high,scooter ,Metropolitian ,33,Grocery,4.0,6.218009778855673
vmfv999642595,33,18.592718,73.773572,18.702718,73.883572,2022-03-16,1900-01-01 20:30:00,1900-01-01 20:40:00,Sandstorms,jam,motorcycle ,Metropolitian ,200,Cosmetics,4.2,16.849963192144774
qfgc848777135,34,17.426228,78.407495,17.496228,78.477495,2022-03-20,1900-01-01 20:40:00,1900-01-01 20:50:00,Cloudy,jam,motorcycle ,Metropolitian ,205,Snacks,4.9,10.757123658609638
vwmc439983136,21,22.552672,88.352885,22.582672,88.382885,2022-02-15,1900-01-01 21:15:00,1900-01-01 21:30:00,Windy,jam,motorcycle ,Urban ,75,Jewelry,4.7,4.540580660439759
ntzy027061451,25,18.563934,73.915367,18.643935,73.995367,2022-03-16,1900-01-01 20:20:00,1900-01-01 20:25:00,Sandstorms,jam,motorcycle ,Metropolitian ,180,Toys,4.1,12.256093374282093
pbjm971961647,31,23.357804,85.325146,23.487804,85.455146,2022-03-10,1900-01-01 22:30:00,1900-01-01 22:45:00,Sandstorms,low,van,Metropolitian ,130,Books,4.7,19.61876644735796
kjic578711491,37,11.003669,76.976494,11.013669,76.986494,2022-03-11,1900-01-01 08:15:00,1900-01-01 08:30:00,Sandstorms,low,motorcycle ,Metropolitian ,100,Clothing,5.0,1.5581344177408138
rkzt648036688,33,12.986047,80.218114,13.116047,80.348114,2022-03-27,1900-01-01 19:30:00,1900-01-01 19:45:00,Windy,jam,scooter ,Metropolitian ,195,Snacks,4.3,20.18066298879514
segh259958026,25,19.221315,72.862381,19.261315,72.902381,2022-03-26,1900-01-01 12:25:00,1900-01-01 12:30:00,Cloudy,high,motorcycle ,Metropolitian ,170,Jewelry,4.0,6.116980118803459
owvs520891091,29,13.005801,80.250744,13.115801,80.360744,2022-03-27,1900-01-01 18:35:00,1900-01-01 18:50:00,Sunny,medium,van,Metropolitian ,75,Outdoors,4.5,17.075617986888485
edrh271340988,27,26.849596,75.800512,26.879596,75.830512,2022-04-05,1900-01-01 20:35:00,1900-01-01 20:40:00,Stormy,jam,motorcycle ,Urban ,90,Cosmetics,5.0,4.470292664057289
qvfd540651807,35,21.160522,72.771477,21.250522,72.861477,2022-03-12,1900-01-01 23:20:00,1900-01-01 23:30:00,Cloudy,low,scooter ,Metropolitian ,190,Electronics,4.3,13.68206342452558
gzfn634029300,32,12.934179,77.615797,13.024179,77.705797,2022-03-16,1900-01-01 21:20:00,1900-01-01 21:35:00,Windy,jam,motorcycle ,Metropolitian ,235,Cosmetics,4.0,13.973201954499304
xjps180812498,23,18.51421,73.838429,18.62421,73.948429,2022-04-02,1900-01-01 23:35:00,1900-01-01 23:45:00,Windy,low,van,Urban ,60,Jewelry,4.8,16.85364200906326
ahpg083217029,31,11.022477,76.995667,11.052477,77.025667,2022-04-01,1900-01-01 22:35:00,1900-01-01 22:50:00,Sandstorms,low,motorcycle ,Metropolitian ,130,Jewelry,4.8,4.674178580504783
